label,gloss,accuracy,support
99,can,0.49999999999975,2
103,caption,0.49999999999975,2
460,really,0.49999999999975,2
105,card,0.49999999999975,2
108,carrot,0.49999999999975,2
453,quick,0.49999999999975,2
459,ready,0.49999999999975,2
470,respect,0.49999999999975,2
464,rehearse,0.49999999999975,2
462,recent,0.49999999999975,2
89,brush,0.49999999999975,2
93,cafeteria,0.49999999999975,2
483,sad,0.49999999999975,2
471,restaurant,0.49999999999975,2
473,retire,0.49999999999975,2
475,ride,0.49999999999975,2
82,box,0.49999999999975,2
88,brown,0.49999999999975,2
489,school,0.49999999999975,2
484,salt,0.49999999999975,2
69,bird,0.49999999999975,2
508,since,0.49999999999975,2
504,show,0.49999999999975,2
505,sick,0.49999999999975,2
429,pillow,0.49999999999975,2
423,peaceful,0.49999999999975,2
365,math,0.49999999999975,2
368,meat,0.49999999999975,2
378,monkey,0.49999999999975,2
381,more,0.49999999999975,2
131,city,0.49999999999975,2
130,christmas,0.49999999999975,2
135,cloud,0.49999999999975,2
132,class,0.49999999999975,2
388,napkin,0.49999999999975,2
159,crash,0.49999999999975,2
156,country,0.49999999999975,2
160,crazy,0.49999999999975,2
359,lucky,0.49999999999975,2
356,lobster,0.49999999999975,2
360,make,0.49999999999975,2
115,chair,0.49999999999975,2
393,nervous,0.49999999999975,2
395,new,0.49999999999975,2
399,north,0.49999999999975,2
391,negative,0.49999999999975,2
141,come here,0.49999999999975,2
137,coffee,0.49999999999975,2
386,music,0.49999999999975,2
430,pink,0.49999999999975,2
410,opinion,0.49999999999975,2
407,one,0.49999999999975,2
405,ok,0.49999999999975,2
402,obsess,0.49999999999975,2
401,now,0.49999999999975,2
417,paper,0.49999999999975,2
411,orange,0.49999999999975,2
424,pepper,0.49999999999975,2
187,dirty,0.49999999999975,2
324,invest,0.49999999999975,2
325,iran,0.49999999999975,2
332,kiss,0.49999999999975,2
333,kitchen,0.49999999999975,2
162,cut,0.49999999999975,2
167,daughter,0.49999999999975,2
165,dance,0.49999999999975,2
338,late,0.49999999999975,2
175,delicious,0.49999999999975,2
168,day,0.49999999999975,2
158,cow,0.49999999999975,2
150,cookie,0.49999999999975,2
149,cook,0.49999999999975,2
349,lie,0.49999999999975,2
346,lemon,0.49999999999975,2
362,many,0.49999999999975,2
301,her,0.49999999999975,2
304,highway,0.49999999999975,2
306,hope,0.49999999999975,2
311,how,0.49999999999975,2
206,dry,0.49999999999975,2
207,eagle,0.49999999999975,2
292,happy,0.49999999999975,2
296,hear,0.49999999999975,2
313,hurry,0.49999999999975,2
308,hot,0.49999999999975,2
316,idea,0.49999999999975,2
318,improve,0.49999999999975,2
181,dessert,0.49999999999975,2
184,different,0.49999999999975,2
183,develop,0.49999999999975,2
264,future,0.49999999999975,2
266,geography,0.49999999999975,2
267,get,0.49999999999975,2
271,glass,0.49999999999975,2
288,guilty,0.49999999999975,2
278,government,0.49999999999975,2
200,down,0.49999999999975,2
197,doll,0.49999999999975,2
215,elephant,0.49999999999975,2
216,encourage,0.49999999999975,2
217,enjoy,0.49999999999975,2
261,full,0.49999999999975,2
223,exchange,0.49999999999975,2
258,from,0.49999999999975,2
225,experience,0.49999999999975,2
224,expensive,0.49999999999975,2
238,finally,0.49999999999975,2
245,flower,0.49999999999975,2
211,eat,0.49999999999975,2
253,fox,0.49999999999975,2
214,egypt,0.49999999999975,2
226,expert,0.49999999999975,2
236,feel,0.49999999999975,2
232,farm,0.49999999999975,2
634,with,0.49999999999975,2
631,wife,0.49999999999975,2
16,already,0.49999999999975,2
627,where,0.49999999999975,2
15,allow,0.49999999999975,2
14,allergy,0.49999999999975,2
6,africa,0.49999999999975,2
4,add,0.49999999999975,2
273,go,0.33333333333322224,3
577,thursday,0.33333333333322224,3
144,computer,0.33333333333322224,3
571,thin,0.33333333333322224,3
138,cold,0.33333333333322224,3
203,drink,0.33333333333322224,3
568,thanksgiving,0.33333333333322224,3
229,family,0.33333333333322224,3
300,help,0.33333333333322224,3
116,champion,0.33333333333322224,3
433,play,0.33333333333322224,3
62,before,0.33333333333322224,3
231,far,0.33333333333322224,3
117,change,0.33333333333322224,3
166,dark,0.33333333333322224,3
169,deaf,0.33333333333322224,3
498,shape,0.0,2
499,share,0.0,2
500,shine,0.0,2
502,shock,0.0,2
503,short,0.0,3
510,sky,0.0,2
506,sign,0.0,2
507,silly,0.0,2
509,sister,0.0,2
474,review,0.0,2
476,right,0.0,2
497,service,0.0,2
477,rise,0.0,2
536,stomach,0.0,2
478,rob,0.0,2
479,room,0.0,3
535,stink,0.0,2
480,rough,0.0,2
481,run,0.0,2
83,boy,0.0,2
533,stay,0.0,2
540,strange,0.0,2
68,big,0.0,2
71,black,0.0,2
73,blind,0.0,2
74,blue,0.0,2
75,boat,0.0,2
78,bother,0.0,2
67,benefit,0.0,2
79,bottle,0.0,2
515,snake,0.0,2
517,soap,0.0,2
494,secretary,0.0,2
519,some,0.0,2
95,calculate,0.0,2
97,call,0.0,3
482,russia,0.0,2
84,bracelet,0.0,2
486,saturday,0.0,2
66,belt,0.0,2
487,save,0.0,2
512,small,0.0,2
491,scissors,0.0,2
495,sell,0.0,2
518,soft,0.0,2
446,private,0.0,2
447,problem,0.0,2
448,procrastinate,0.0,2
98,calm,0.0,2
100,canada,0.0,2
101,cancel,0.0,2
104,car,0.0,2
106,care,0.0,2
107,careful,0.0,2
109,carry,0.0,2
110,cat,0.0,2
534,steal,0.0,2
112,center,0.0,2
118,character,0.0,2
119,chat,0.0,2
120,cheap,0.0,2
121,cheat,0.0,2
122,check,0.0,3
123,cheese,0.0,2
125,children,0.0,2
126,choice,0.0,2
127,choose,0.0,2
128,chop,0.0,2
129,christian,0.0,2
111,catch,0.0,2
85,bread,0.0,2
86,bring,0.0,2
87,brother,0.0,3
90,business,0.0,2
91,but,0.0,2
92,buy,0.0,2
94,cake,0.0,2
113,cereal,0.0,2
450,project,0.0,2
451,pull,0.0,2
452,purple,0.0,2
454,quiet,0.0,2
445,presentation,0.0,2
456,rabbit,0.0,2
457,raccoon,0.0,2
458,rain,0.0,2
463,red,0.0,2
465,religion,0.0,2
466,remember,0.0,2
467,remove,0.0,2
468,represent,0.0,2
469,research,0.0,2
472,result,0.0,2
442,practice,0.0,2
443,prepare,0.0,2
455,quit,0.0,2
632,win,0.0,2
635,without,0.0,2
636,woman,0.0,3
637,word,0.0,2
638,work,0.0,2
580,time,0.0,2
581,tired,0.0,2
582,to,0.0,2
